NOC,Year,Athletes_Count,Sports_Count,Gold,Silver,Bronze,Total_Medals,Is_Host,Total Events,Total Disciplines,Total Sports,sports coverage,Gold winning rate,Silver winning rate,Bronze winning rate,Medal winning rate,Value
CYP,2024,23,9,0,1,0,1,False,329.0,48.0,32.0,0.28125,0.0,0.00303951367781155,0.0,0.0010131712259371835,0.004354244574841353
CZE,2004,171,20,1,3,5,9,False,301.0,40.0,27.0,0.7407407407407407,0.0033222591362126247,0.009966777408637873,0.016611295681063124,0.009966777408637873,0.026633620838468902
CZE,2008,158,21,3,3,0,6,False,302.0,42.0,27.0,0.7777777777777778,0.009933774834437087,0.009933774834437087,0.0,0.006622516556291391,0.025525873600560953
CZE,2012,159,21,4,3,3,10,False,302.0,40.0,26.0,0.8076923076923077,0.013245033112582781,0.009933774834437087,0.009933774834437087,0.011037527593818985,0.02709811288788578
CZE,2016,135,20,1,2,7,10,False,306.0,42.0,28.0,0.7142857142857143,0.0032679738562091504,0.006535947712418301,0.02287581699346405,0.010893246187363835,0.026743889190004918
CZE,2020,151,26,4,4,3,11,False,339.0,50.0,33.0,0.7878787878787878,0.011799410029498525,0.011799410029498525,0.008849557522123894,0.010816125860373648,0.024774639950590073
CZE,2024,149,27,3,0,2,5,False,329.0,48.0,32.0,0.84375,0.00911854103343465,0.0,0.0060790273556231,0.005065856129685917,0.02552766852051682
DEN,2004,115,16,2,1,5,8,False,301.0,40.0,27.0,0.5925925925925926,0.006644518272425249,0.0033222591362126247,0.016611295681063124,0.008859357696566999,0.05530564922928027
DEN,2008,108,16,2,2,3,7,False,302.0,42.0,27.0,0.5925925925925926,0.006622516556291391,0.006622516556291391,0.009933774834437087,0.00772626931567329,0.05494840709347586
DEN,2012,149,17,2,4,3,9,False,302.0,40.0,26.0,0.6538461538461539,0.006622516556291391,0.013245033112582781,0.009933774834437087,0.009933774834437087,0.05432730084230117
DEN,2016,143,16,2,6,7,15,False,306.0,42.0,28.0,0.5714285714285714,0.006535947712418301,0.0196078431372549,0.02287581699346405,0.016339869281045753,0.05361714004697697
DEN,2020,138,19,3,4,4,11,False,339.0,50.0,33.0,0.5757575757575758,0.008849557522123894,0.011799410029498525,0.011799410029498525,0.010816125860373648,0.05143925845989179
DEN,2024,161,24,2,2,5,9,False,329.0,48.0,32.0,0.75,0.0060790273556231,0.0060790273556231,0.015197568389057751,0.00911854103343465,0.05300276175654504
DMA,2004,2,1,0,0,0,0,False,301.0,40.0,27.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.006261044056327379
DMA,2008,2,1,0,0,0,0,False,302.0,42.0,27.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.006375971081547899
DMA,2012,2,1,0,0,0,0,False,302.0,40.0,26.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.006375971081547899
DMA,2016,2,1,0,0,0,0,False,306.0,42.0,28.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.006292625054338124
DMA,2020,2,1,0,0,0,0,False,339.0,50.0,33.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.005800921157228291
DMA,2024,4,2,1,0,0,1,False,329.0,48.0,32.0,0.0625,0.00303951367781155,0.0,0.0,0.0010131712259371835,0.005977240949241308
DOM,2004,33,9,1,0,0,1,False,301.0,40.0,27.0,0.3333333333333333,0.0033222591362126247,0.0,0.0,0.0011074197120708748,0.023313572624289094
DOM,2008,27,9,1,1,0,2,False,302.0,42.0,27.0,0.3333333333333333,0.0033112582781456954,0.0033112582781456954,0.0,0.002207505518763797,0.02344214697237448
DOM,2012,36,10,1,1,0,2,False,302.0,40.0,26.0,0.38461538461538464,0.0033112582781456954,0.0033112582781456954,0.0,0.002207505518763797,0.023161017459918783
DOM,2016,30,11,0,0,1,1,False,306.0,42.0,28.0,0.39285714285714285,0.0,0.0,0.0032679738562091504,0.0010893246187363835,0.02285825906174991
DOM,2020,69,11,0,3,2,5,False,339.0,50.0,33.0,0.3333333333333333,0.0,0.008849557522123894,0.0058997050147492625,0.004916420845624385,0.02133342534270969
DOM,2024,64,13,1,0,2,3,False,329.0,48.0,32.0,0.40625,0.00303951367781155,0.0,0.0060790273556231,0.00303951367781155,0.019366194995040734
ECU,2004,18,7,0,0,0,0,False,301.0,40.0,27.0,0.25925925925925924,0.0,0.0,0.0,0.0,0.04045109214743369
ECU,2008,26,9,0,1,0,1,False,302.0,42.0,27.0,0.3333333333333333,0.0,0.0033112582781456954,0.0,0.0011037527593818985,0.04050076683271264
ECU,2012,36,11,0,0,0,0,False,302.0,40.0,26.0,0.4230769230769231,0.0,0.0,0.0,0.0,0.04050076683271264
ECU,2016,40,12,0,0,0,0,False,306.0,42.0,28.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.03997134504404973
ECU,2020,52,17,2,1,0,3,False,339.0,50.0,33.0,0.5151515151515151,0.0058997050147492625,0.0029498525073746312,0.0,0.0029498525073746312,0.0394516219226098
ECU,2024,47,14,1,2,2,5,False,329.0,48.0,32.0,0.4375,0.00303951367781155,0.0060790273556231,0.0060790273556231,0.005065856129685917,0.038606696459377005
EGY,2004,104,17,1,1,3,5,False,301.0,40.0,27.0,0.6296296296296297,0.0033222591362126247,0.0033222591362126247,0.009966777408637873,0.005537098560354375,0.013628548820936335
EGY,2008,116,19,0,0,1,1,False,302.0,42.0,27.0,0.7037037037037037,0.0,0.0,0.0033112582781456954,0.0011037527593818985,0.013583421175833894
EGY,2012,132,21,0,2,0,2,False,302.0,40.0,26.0,0.8076923076923077,0.0,0.006622516556291391,0.0,0.002207505518763797,0.013583421175833894
EGY,2016,137,23,0,0,3,3,False,306.0,42.0,28.0,0.8214285714285714,0.0,0.0,0.00980392156862745,0.0032679738562091504,0.013405860114711883
EGY,2020,195,27,1,1,4,6,False,339.0,50.0,33.0,0.8181818181818182,0.0029498525073746312,0.0029498525073746312,0.011799410029498525,0.0058997050147492625,0.021921941879314462
EGY,2024,207,26,1,1,1,3,False,329.0,48.0,32.0,0.8125,0.00303951367781155,0.00303951367781155,0.00303951367781155,0.00303951367781155,0.011034552573810776
EOR,2020,35,12,0,0,0,0,False,339.0,50.0,33.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0015835656652719745
EOR,2024,44,13,0,0,1,1,False,329.0,48.0,32.0,0.40625,0.0,0.0,0.00303951367781155,0.0010131712259371835,0.0016316983602650437
ERI,2004,5,1,0,0,1,1,False,301.0,40.0,27.0,0.037037037037037035,0.0,0.0,0.0033222591362126247,0.0011074197120708748,0.0
ERI,2008,11,1,0,0,0,0,False,302.0,42.0,27.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0
ERI,2012,12,2,0,0,0,0,False,302.0,40.0,26.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
ERI,2016,12,2,0,0,0,0,False,306.0,42.0,28.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
ERI,2020,14,3,0,0,0,0,False,339.0,50.0,33.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
ERI,2024,12,3,0,0,0,0,False,329.0,48.0,32.0,0.09375,0.0,0.0,0.0,0.0,0.0
ESP,2004,423,27,3,11,6,20,False,301.0,40.0,27.0,1.0,0.009966777408637873,0.036544850498338874,0.019933554817275746,0.0221483942414175,0.0633056093521308
ESP,2008,355,29,5,10,3,18,False,302.0,42.0,27.0,1.0740740740740742,0.016556291390728478,0.033112582781456956,0.009933774834437087,0.019867549668874173,0.06282003293736957
ESP,2012,339,27,3,10,4,17,False,302.0,40.0,26.0,1.0384615384615385,0.009933774834437087,0.033112582781456956,0.013245033112582781,0.018763796909492272,0.06430385362155536
ESP,2016,363,28,7,4,6,17,False,306.0,42.0,28.0,1.0,0.02287581699346405,0.013071895424836602,0.0196078431372549,0.018518518518518517,0.06346328037160039
ESP,2020,429,36,3,8,6,17,False,339.0,50.0,33.0,1.0909090909090908,0.008849557522123894,0.02359882005899705,0.017699115044247787,0.01671583087512291,0.07463989160407804
ESP,2024,526,39,5,4,9,18,False,329.0,48.0,32.0,1.21875,0.015197568389057751,0.0121580547112462,0.02735562310030395,0.0182370820668693,0.06740388805423876
EST,2004,45,10,0,1,2,3,False,301.0,40.0,27.0,0.37037037037037035,0.0,0.0033222591362126247,0.006644518272425249,0.0033222591362126247,0.00843699211940563
EST,2008,53,13,1,1,0,2,False,302.0,42.0,27.0,0.48148148148148145,0.0033112582781456954,0.0033112582781456954,0.0,0.002207505518763797,0.008409055059407599
EST,2012,36,11,0,1,1,2,False,302.0,40.0,26.0,0.4230769230769231,0.0,0.0033112582781456954,0.0033112582781456954,0.002207505518763797,0.008409055059407599
EST,2016,49,13,0,0,1,1,False,306.0,42.0,28.0,0.4642857142857143,0.0,0.0,0.0032679738562091504,0.0010893246187363835,0.00829913277104933
EST,2020,42,15,1,0,1,2,False,339.0,50.0,33.0,0.45454545454545453,0.0029498525073746312,0.0,0.0029498525073746312,0.0019665683382497543,0.008514113270486904
EST,2024,26,14,0,0,0,0,False,329.0,48.0,32.0,0.4375,0.0,0.0,0.0,0.0,0.008772900907887722
ETH,2004,27,2,2,3,2,7,False,301.0,40.0,27.0,0.07407407407407407,0.006644518272425249,0.009966777408637873,0.006644518272425249,0.007751937984496124,0.02841091375330086
ETH,2008,29,1,4,1,2,7,False,302.0,42.0,27.0,0.037037037037037035,0.013245033112582781,0.0033112582781456954,0.006622516556291391,0.00772626931567329,0.028932421312118282
ETH,2012,34,2,3,1,3,7,False,302.0,40.0,26.0,0.07692307692307693,0.009933774834437087,0.0033112582781456954,0.009933774834437087,0.00772626931567329,0.028932421312118282
ETH,2016,38,3,1,2,5,8,False,306.0,42.0,28.0,0.10714285714285714,0.0032679738562091504,0.006535947712418301,0.016339869281045753,0.008714596949891068,0.028554219726338963
ETH,2020,38,4,1,1,2,4,False,339.0,50.0,33.0,0.12121212121212122,0.0029498525073746312,0.0029498525073746312,0.0058997050147492625,0.003933136676499509,0.026323001276625034
ETH,2024,35,2,1,3,0,4,False,329.0,48.0,32.0,0.0625,0.00303951367781155,0.00911854103343465,0.0,0.004052684903748734,0.02712309250083856
FIN,2004,67,12,0,2,0,2,False,301.0,40.0,27.0,0.4444444444444444,0.0,0.006644518272425249,0.0,0.0022148394241417496,0.0034663545254657547
FIN,2008,70,14,1,1,2,4,False,302.0,42.0,27.0,0.5185185185185185,0.0033112582781456954,0.0033112582781456954,0.006622516556291391,0.004415011037527594,0.0035435479619737096
FIN,2012,69,14,0,1,2,3,False,302.0,40.0,26.0,0.5384615384615384,0.0,0.0033112582781456954,0.006622516556291391,0.0033112582781456954,0.003817021604626384
FIN,2016,67,17,0,0,1,1,False,306.0,42.0,28.0,0.6071428571428571,0.0,0.0,0.0032679738562091504,0.0010893246187363835,0.0037671258973763656
FIN,2020,49,11,0,0,2,2,False,339.0,50.0,33.0,0.3333333333333333,0.0,0.0,0.0058997050147492625,0.0019665683382497543,0.003518904669980738
FIN,2024,62,14,0,0,0,0,False,329.0,48.0,32.0,0.4375,0.0,0.0,0.0,0.0,0.0036258622587339523
FRA,2004,461,27,11,9,13,33,False,301.0,40.0,27.0,1.0,0.036544850498338874,0.029900332225913623,0.04318936877076412,0.036544850498338874,0.1353143702650538
FRA,2008,448,25,7,16,18,41,False,302.0,42.0,27.0,0.9259259259259259,0.023178807947019868,0.052980132450331126,0.059602649006622516,0.04525386313465784,0.13502911798706146
FRA,2012,426,28,11,11,13,35,False,302.0,40.0,26.0,1.0769230769230769,0.03642384105960265,0.03642384105960265,0.04304635761589404,0.03863134657836645,0.13747522356435132
FRA,2016,512,32,10,18,14,42,False,306.0,42.0,28.0,1.1428571428571428,0.032679738562091505,0.058823529411764705,0.0457516339869281,0.0457516339869281,0.13567816181841208
FRA,2020,538,41,10,12,11,33,False,339.0,50.0,33.0,1.2424242424242424,0.029498525073746312,0.035398230088495575,0.032448377581120944,0.032448377581120944,0.14194269217106495
FRA,2024,801,46,16,26,22,64,True,329.0,48.0,32.0,1.4375,0.0486322188449848,0.0790273556231003,0.0668693009118541,0.06484295845997974,0.14033560689847543
GAB,2004,5,3,0,0,0,0,False,301.0,40.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
GAB,2008,4,3,0,0,0,0,False,302.0,42.0,27.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
GAB,2012,21,5,0,1,0,1,False,302.0,40.0,26.0,0.19230769230769232,0.0,0.0033112582781456954,0.0,0.0011037527593818985,0.0
GAB,2016,6,4,0,0,0,0,False,306.0,42.0,28.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
GAB,2020,5,4,0,0,0,0,False,339.0,50.0,33.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.0
GAB,2024,5,4,0,0,0,0,False,329.0,48.0,32.0,0.125,0.0,0.0,0.0,0.0,0.0
GBR,2004,360,24,9,9,12,30,False,301.0,40.0,27.0,0.8888888888888888,0.029900332225913623,0.029900332225913623,0.03986710963455149,0.03322259136212625,0.24891584531213842
GBR,2008,420,23,19,13,16,48,False,302.0,42.0,27.0,0.8518518518518519,0.06291390728476821,0.04304635761589404,0.052980132450331126,0.052980132450331126,0.249501361807791
GBR,2012,684,32,29,17,19,65,True,302.0,40.0,26.0,1.2307692307692308,0.09602649006622517,0.056291390728476824,0.06291390728476821,0.0717439293598234,0.2506361495039032
GBR,2016,478,26,27,23,17,67,False,306.0,42.0,28.0,0.9285714285714286,0.08823529411764706,0.07516339869281045,0.05555555555555555,0.07298474945533769,0.24990715449769754
GBR,2020,548,35,22,21,22,65,False,339.0,50.0,33.0,1.0606060606060606,0.06489675516224189,0.061946902654867256,0.06489675516224189,0.063913470993117,0.2437435926008783
GBR,2024,533,33,13,22,28,63,False,329.0,48.0,32.0,1.03125,0.03951367781155015,0.0668693009118541,0.0851063829787234,0.06382978723404255,0.25170903176161286
GEO,2004,39,10,2,2,0,4,False,301.0,40.0,27.0,0.37037037037037035,0.006644518272425249,0.006644518272425249,0.0,0.004429678848283499,0.021577022353494943
GEO,2008,38,11,3,0,3,6,False,302.0,42.0,27.0,0.4074074074074074,0.009933774834437087,0.0,0.009933774834437087,0.006622516556291391,0.0215055752596092
GEO,2012,36,10,1,3,3,7,False,302.0,40.0,26.0,0.38461538461538464,0.0033112582781456954,0.009933774834437087,0.009933774834437087,0.00772626931567329,0.02177904890226187
GEO,2016,45,12,2,1,4,7,False,306.0,42.0,28.0,0.42857142857142855,0.006535947712418301,0.0032679738562091504,0.013071895424836602,0.007625272331154684,0.021494355452559104
GEO,2020,36,11,2,5,1,8,False,339.0,50.0,33.0,0.3333333333333333,0.0058997050147492625,0.014749262536873156,0.0029498525073746312,0.007866273352999017,0.019298344606210452
GEO,2024,38,9,3,3,1,7,False,329.0,48.0,32.0,0.28125,0.00911854103343465,0.00911854103343465,0.00303951367781155,0.0070921985815602835,0.01827504042388399
GER,2004,592,29,13,16,20,49,False,301.0,40.0,27.0,1.0740740740740742,0.04318936877076412,0.053156146179401995,0.0664451827242525,0.05426356589147287,0.12061290017437146
GER,2008,558,30,16,10,15,41,False,302.0,42.0,27.0,1.1111111111111112,0.052980132450331126,0.033112582781456956,0.04966887417218543,0.04525386313465784,0.11799524321467024
GER,2012,510,27,11,19,14,44,False,302.0,40.0,26.0,1.0384615384615385,0.03642384105960265,0.06291390728476821,0.046357615894039736,0.04856512141280353,0.11885731831952602
GER,2016,536,29,17,10,15,42,False,306.0,42.0,28.0,1.0357142857142858,0.05555555555555555,0.032679738562091505,0.049019607843137254,0.0457516339869281,0.1189953165301779
GER,2020,597,37,10,11,16,37,False,339.0,50.0,33.0,1.121212121212121,0.029498525073746312,0.032448377581120944,0.0471976401179941,0.03638151425762045,0.11212504851080264
GER,2024,647,42,11,12,8,31,False,329.0,48.0,32.0,1.3125,0.03343465045592705,0.0364741641337386,0.0243161094224924,0.031408308004052685,0.11553310469654132
GHA,2004,29,2,0,0,0,0,False,301.0,40.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.001509102061282697
GHA,2008,9,2,0,0,0,0,False,302.0,42.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0015041050345897078
GHA,2012,7,4,0,0,0,0,False,302.0,40.0,26.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.001777578677242382
GHA,2016,15,5,0,0,0,0,False,306.0,42.0,28.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0017543423546640504
GHA,2020,16,5,0,0,1,1,False,339.0,50.0,33.0,0.15151515151515152,0.0,0.0,0.0029498525073746312,0.0009832841691248771,0.0015835656652719745
GHA,2024,11,2,0,0,0,0,False,329.0,48.0,32.0,0.0625,0.0,0.0,0.0,0.0,0.0016316983602650437
GRE,2004,499,33,6,6,4,16,True,301.0,40.0,27.0,1.2222222222222223,0.019933554817275746,0.019933554817275746,0.013289036544850499,0.017718715393133997,0.03891891457047647
GRE,2008,176,23,0,2,2,4,False,302.0,42.0,27.0,0.8518518518518519,0.0,0.006622516556291391,0.006622516556291391,0.004415011037527594,0.03817050261435324
GRE,2012,115,20,0,0,2,2,False,302.0,40.0,26.0,0.7692307692307693,0.0,0.0,0.006622516556291391,0.002207505518763797,0.03792795236955839
GRE,2016,104,16,3,1,2,6,False,306.0,42.0,28.0,0.5714285714285714,0.00980392156862745,0.0032679738562091504,0.006535947712418301,0.006535947712418301,0.037432162142505346
GRE,2020,100,20,2,1,1,4,False,339.0,50.0,33.0,0.6060606060606061,0.0058997050147492625,0.0029498525073746312,0.0029498525073746312,0.003933136676499509,0.03420905236419712
GRE,2024,126,17,1,1,6,8,False,329.0,48.0,32.0,0.53125,0.00303951367781155,0.00303951367781155,0.0182370820668693,0.008105369807497468,0.035248841189856606
GRN,2004,5,2,0,0,0,0,False,301.0,40.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.004603553379076927
GRN,2008,9,2,0,0,0,0,False,302.0,42.0,27.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.004688055690598998
GRN,2012,8,3,1,0,0,1,False,302.0,40.0,26.0,0.11538461538461539,0.0033112582781456954,0.0,0.0,0.0011037527593818985,0.004688055690598998
GRN,2016,6,2,0,1,0,1,False,306.0,42.0,28.0,0.07142857142857142,0.0,0.0032679738562091504,0.0,0.0010893246187363835,0.004626773916865678
GRN,2020,6,2,0,0,1,1,False,339.0,50.0,33.0,0.06060606060606061,0.0,0.0,0.0029498525073746312,0.0009832841691248771,0.004265239144600708
GRN,2024,6,2,0,0,2,2,False,329.0,48.0,32.0,0.0625,0.0,0.0,0.0060790273556231,0.002026342451874367,0.004394881671792219
GUA,2004,19,8,0,0,0,0,False,301.0,40.0,27.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.007953578582763113
GUA,2008,13,9,0,0,0,0,False,302.0,42.0,27.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.006994625496917697
GUA,2012,24,11,0,1,0,1,False,302.0,40.0,26.0,0.4230769230769231,0.0,0.0033112582781456954,0.0,0.0011037527593818985,0.006994625496917697
GUA,2016,25,10,0,0,0,0,False,306.0,42.0,28.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.006903192483886093
GUA,2020,24,10,0,0,0,0,False,339.0,50.0,33.0,0.30303030303030304,0.0,0.0,0.0,0.0,0.006231200295189217
GUA,2024,16,7,1,0,1,2,False,329.0,48.0,32.0,0.21875,0.00303951367781155,0.0,0.00303951367781155,0.002026342451874367,0.006420598480453327
HKG,2004,42,10,0,1,0,1,False,301.0,40.0,27.0,0.37037037037037035,0.0,0.0033222591362126247,0.0,0.0011074197120708748,0.015320261456062417
HKG,2008,47,11,0,0,0,0,False,302.0,42.0,27.0,0.4074074074074074,0.0,0.0,0.0,0.0,0.015605421579855429
HKG,2012,55,13,0,0,1,1,False,302.0,40.0,26.0,0.5,0.0,0.0,0.0033112582781456954,0.0011037527593818985,0.015605421579855429
HKG,2016,47,9,0,0,0,0,False,306.0,42.0,28.0,0.32142857142857145,0.0,0.0,0.0,0.0,0.015401429140903072
HKG,2020,65,15,1,2,3,6,False,339.0,50.0,33.0,0.45454545454545453,0.0029498525073746312,0.0058997050147492625,0.008849557522123894,0.0058997050147492625,0.017788634209541604
HKG,2024,51,13,2,0,2,4,False,329.0,48.0,32.0,0.40625,0.0060790273556231,0.0,0.0060790273556231,0.004052684903748734,0.016321146232995683
HUN,2004,258,20,8,6,3,17,False,301.0,40.0,27.0,0.7407407407407407,0.026578073089700997,0.019933554817275746,0.009966777408637873,0.018826135105204873,0.06814802327532705
HUN,2008,216,20,3,5,2,10,False,302.0,42.0,27.0,0.7407407407407407,0.009933774834437087,0.016556291390728478,0.006622516556291391,0.011037527593818985,0.06884906840266682
HUN,2012,201,21,8,4,6,18,False,302.0,40.0,26.0,0.8076923076923077,0.026490066225165563,0.013245033112582781,0.019867549668874173,0.019867549668874173,0.0683747152685202
HUN,2016,204,20,8,3,4,15,False,306.0,42.0,28.0,0.7142857142857143,0.026143790849673203,0.00980392156862745,0.013071895424836602,0.016339869281045753,0.06748092814082711
HUN,2020,237,25,6,7,7,20,False,339.0,50.0,33.0,0.7575757575757576,0.017699115044247787,0.02064896755162242,0.02064896755162242,0.01966568338249754,0.0672923241983659
HUN,2024,255,24,6,7,5,18,False,329.0,48.0,32.0,0.75,0.0182370820668693,0.02127659574468085,0.015197568389057751,0.0182370820668693,0.06732950765005169
INA,2004,39,14,1,1,2,4,False,301.0,40.0,27.0,0.5185185185185185,0.0033222591362126247,0.0033222591362126247,0.006644518272425249,0.004429678848283499,0.0127124503016907
INA,2008,26,7,1,1,3,5,False,302.0,42.0,27.0,0.25925925925925924,0.0033112582781456954,0.0033112582781456954,0.009933774834437087,0.005518763796909493,0.012670356095393711
INA,2012,22,8,0,1,1,2,False,302.0,40.0,26.0,0.3076923076923077,0.0,0.0033112582781456954,0.0033112582781456954,0.002207505518763797,0.012670356095393711
INA,2016,31,7,1,2,0,3,False,306.0,42.0,28.0,0.25,0.0032679738562091504,0.006535947712418301,0.0,0.0032679738562091504,0.012504730525519283
INA,2020,35,8,1,1,3,5,False,339.0,50.0,33.0,0.24242424242424243,0.0029498525073746312,0.0029498525073746312,0.008849557522123894,0.004916420845624385,0.012401525903688357
INA,2024,36,12,2,0,1,3,False,329.0,48.0,32.0,0.375,0.0060790273556231,0.0,0.00303951367781155,0.00303951367781155,0.0122595935043806
IND,2004,81,14,0,1,0,1,False,301.0,40.0,27.0,0.5185185185185185,0.0,0.0033222591362126247,0.0,0.0011074197120708748,0.026277369702423965
IND,2008,67,12,1,0,2,3,False,302.0,42.0,27.0,0.4444444444444444,0.0033112582781456954,0.0,0.006622516556291391,0.0033112582781456954,0.02521045869444798
IND,2012,95,13,0,2,4,6,False,302.0,40.0,26.0,0.5,0.0,0.006622516556291391,0.013245033112582781,0.006622516556291391,0.025483932337100654
IND,2016,130,15,0,1,1,2,False,306.0,42.0,28.0,0.5357142857142857,0.0,0.0032679738562091504,0.0032679738562091504,0.002178649237472767,0.025150809038576465
IND,2020,151,18,1,2,4,7,False,339.0,50.0,33.0,0.5454545454545454,0.0029498525073746312,0.0058997050147492625,0.011799410029498525,0.00688298918387414,0.022545130174722608
IND,2024,138,16,0,1,5,6,False,329.0,48.0,32.0,0.5,0.0,0.00303951367781155,0.015197568389057751,0.0060790273556231,0.022083675867007685
IOA,2012,4,3,0,0,0,0,False,302.0,40.0,26.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.006994625496917697
IOA,2016,9,3,1,0,1,2,False,306.0,42.0,28.0,0.10714285714285714,0.0032679738562091504,0.0,0.0032679738562091504,0.002178649237472767,0.006903192483886093
IRI,2004,37,10,2,2,2,6,False,301.0,40.0,27.0,0.37037037037037035,0.006644518272425249,0.006644518272425249,0.006644518272425249,0.006644518272425249,0.03331672024815566
IRI,2008,55,12,1,0,1,2,False,302.0,42.0,27.0,0.4444444444444444,0.0033112582781456954,0.0,0.0033112582781456954,0.002207505518763797,0.03244919749276125
IRI,2012,57,13,4,5,3,12,False,302.0,40.0,26.0,0.5,0.013245033112582781,0.016556291390728478,0.009933774834437087,0.013245033112582781,0.03244919749276125
IRI,2016,67,15,3,1,4,8,False,306.0,42.0,28.0,0.5357142857142857,0.00980392156862745,0.0032679738562091504,0.013071895424836602,0.008714596949891068,0.032025024976516006
IRI,2020,76,17,3,2,2,7,False,339.0,50.0,33.0,0.5151515151515151,0.008849557522123894,0.0058997050147492625,0.0058997050147492625,0.00688298918387414,0.036341588867946216
IRI,2024,46,14,3,6,3,12,False,329.0,48.0,32.0,0.4375,0.00911854103343465,0.0182370820668693,0.00911854103343465,0.0121580547112462,0.0267030814915573
IRL,2004,55,9,0,0,0,0,False,301.0,40.0,27.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.01962189112446064
IRL,2008,63,12,0,1,2,3,False,302.0,42.0,27.0,0.4444444444444444,0.0,0.0033112582781456954,0.006622516556291391,0.0033112582781456954,0.01964558940666728
IRL,2012,76,14,1,1,3,5,False,302.0,40.0,26.0,0.5384615384615384,0.0033112582781456954,0.0033112582781456954,0.009933774834437087,0.005518763796909493,0.020336081670019556
IRL,2016,93,14,0,2,0,2,False,306.0,42.0,28.0,0.5,0.0,0.006535947712418301,0.0,0.002178649237472767,0.020070250537078126
IRL,2020,150,20,2,0,2,4,False,339.0,50.0,33.0,0.6060606060606061,0.0058997050147492625,0.0,0.0058997050147492625,0.003933136676499509,0.01823499947749914
IRL,2024,185,17,3,0,2,5,False,329.0,48.0,32.0,0.53125,0.00911854103343465,0.0,0.0060790273556231,0.005065856129685917,0.01878925478076659
ISL,2004,34,5,0,0,0,0,False,301.0,40.0,27.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.0
ISL,2008,31,5,0,1,0,1,False,302.0,42.0,27.0,0.18518518518518517,0.0,0.0033112582781456954,0.0,0.0011037527593818985,0.0
ISL,2012,36,6,0,0,0,0,False,302.0,40.0,26.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0
ISL,2016,14,4,0,0,0,0,False,306.0,42.0,28.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
ISL,2020,5,3,0,0,0,0,False,339.0,50.0,33.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
ISL,2024,7,4,0,0,0,0,False,329.0,48.0,32.0,0.125,0.0,0.0,0.0,0.0,0.0
ISR,2004,46,14,1,0,1,2,False,301.0,40.0,27.0,0.5185185185185185,0.0033222591362126247,0.0,0.0033222591362126247,0.0022148394241417496,0.018418188118656326
ISR,2008,60,12,0,0,1,1,False,302.0,42.0,27.0,0.4444444444444444,0.0,0.0,0.0033112582781456954,0.0011037527593818985,0.018357200740779976
ISR,2012,56,10,0,0,0,0,False,302.0,40.0,26.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.01735719181707039
ISR,2016,59,16,0,0,2,2,False,306.0,42.0,28.0,0.5714285714285714,0.0,0.0,0.006535947712418301,0.002178649237472767,0.017130300420768813
ISR,2020,128,19,2,0,2,4,False,339.0,50.0,33.0,0.5757575757575758,0.0058997050147492625,0.0,0.0058997050147492625,0.003933136676499509,0.015667633117858643
ISR,2024,138,20,1,5,1,7,False,329.0,48.0,32.0,0.625,0.00303951367781155,0.015197568389057751,0.00303951367781155,0.0070921985815602835,0.01614385296946529
ITA,2004,474,30,10,11,11,32,False,301.0,40.0,27.0,1.1111111111111112,0.03322259136212625,0.036544850498338874,0.036544850498338874,0.035437430786267994,0.17368123724703255
ITA,2008,459,29,8,9,10,27,False,302.0,42.0,27.0,1.0740740740740742,0.026490066225165563,0.029801324503311258,0.033112582781456956,0.029801324503311258,0.17071926438065815
ITA,2012,382,28,8,9,11,28,False,302.0,40.0,26.0,1.0769230769230769,0.026490066225165563,0.029801324503311258,0.03642384105960265,0.03090507726269316,0.1717963753017558
